Countries,2016,2017,2018,Total
Djibouti,,,,
Kenya,,2,2,4
Uganda,1,,,1
Tanzania,1,1,,2
Rwanda,,,,
Burundi,,,,
Ethiopia,,,,
Mozambique,,1,,1
DR Congo,10,13,8,31
Rep Congo,,,,
Gabon,,,,
Equatorial Guinea,,,,
Cameroon,1,,,1
Central African Republic,,,,
Colombia,37,24,24,85
Guyana,,,,
Suriname,,,,
Peru,2,8,,10
Bolivia,,,,
Brazil,49,57,20,126
Ecuador,,,,
Argentina,,2,,2
Paraguay,,,,
Chile,,,2,2
Panama,,,,
Costa Rica,,,,
Honduras,14,5,4,23
El Salvador,,,,
Nicaragua,11,4,,15
Guatemala,6,3,16,25
Belize,,,,
Mexico,3,15,14,32
Nepal,,,,
Pakistan,1,2,1,4
Bhutan,,,,
India,16,11,23,50
Viet Nam,1,,,1
Lao PDR,,,,
Thailand,1,,,1
Malaysia,1,,,1
Myanmar,2,2,,4
Cambodia,,,3,3
Indonesia,,,1,1
Timor Leste,,,,
Philippines,28,48,30,106
Fiji,,,,
Indonesia (west papua),,,,
Papua New Guinea,,,,
Vanuatu,,,,
Solomon Islands,,,,
Niue,,,,
Cook Islands,,,,
Easter Island,,,,
Tokelau,,,,
Wallis and Fortuna,,,,
Tonga,,,,
Samoa ,,,,
Tuvalu,,,,
